measurement_id,pair_id,timestamp,api_type,scenario_id,scenario_name,repository,owner,repo,run_number,order_index,http_status,success,elapsed_ms,response_bytes,request_count,attempts,token_label,error
public-apis/public-apis:C1:run004:REST,public-apis/public-apis:C1:run004,2026-06-18T00:54:44.795941Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,4,2,200,1,435.698,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run005:GraphQL,public-apis/public-apis:C1:run005,2026-06-18T00:54:45.203624Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,5,1,200,1,406.675,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run005:REST,public-apis/public-apis:C1:run005,2026-06-18T00:54:45.715007Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,5,2,200,1,510.096,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run006:REST,public-apis/public-apis:C1:run006,2026-06-18T00:54:46.123760Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,6,1,200,1,407.655,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run006:GraphQL,public-apis/public-apis:C1:run006,2026-06-18T00:54:46.537412Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,6,2,200,1,412.724,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run007:REST,public-apis/public-apis:C1:run007,2026-06-18T00:54:47.048196Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,7,1,200,1,509.669,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run007:GraphQL,public-apis/public-apis:C1:run007,2026-06-18T00:54:47.456151Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,7,2,200,1,407.020,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run008:REST,public-apis/public-apis:C1:run008,2026-06-18T00:54:47.865899Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,8,1,200,1,408.735,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run008:GraphQL,public-apis/public-apis:C1:run008,2026-06-18T00:54:48.276633Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,8,2,200,1,409.733,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run009:GraphQL,public-apis/public-apis:C1:run009,2026-06-18T00:54:48.671689Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,9,1,200,1,394.047,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run009:REST,public-apis/public-apis:C1:run009,2026-06-18T00:54:49.065042Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,9,2,200,1,392.350,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run010:REST,public-apis/public-apis:C1:run010,2026-06-18T00:54:49.504760Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,10,1,200,1,438.665,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run010:GraphQL,public-apis/public-apis:C1:run010,2026-06-18T00:54:49.915714Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,10,2,200,1,409.913,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run011:GraphQL,public-apis/public-apis:C1:run011,2026-06-18T00:54:50.323281Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,11,1,200,1,406.599,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run011:REST,public-apis/public-apis:C1:run011,2026-06-18T00:54:50.706032Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,11,2,200,1,381.802,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run012:REST,public-apis/public-apis:C1:run012,2026-06-18T00:54:51.143019Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,12,1,200,1,435.905,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run012:GraphQL,public-apis/public-apis:C1:run012,2026-06-18T00:54:51.756745Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,12,2,200,1,612.800,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run013:GraphQL,public-apis/public-apis:C1:run013,2026-06-18T00:54:52.166079Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,13,1,200,1,408.298,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run013:REST,public-apis/public-apis:C1:run013,2026-06-18T00:54:52.576749Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,13,2,200,1,409.604,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run014:GraphQL,public-apis/public-apis:C1:run014,2026-06-18T00:54:52.985525Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,14,1,200,1,407.763,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run014:REST,public-apis/public-apis:C1:run014,2026-06-18T00:54:53.394810Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,14,2,200,1,408.310,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run015:GraphQL,public-apis/public-apis:C1:run015,2026-06-18T00:54:53.759893Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,15,1,200,1,364.056,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run015:REST,public-apis/public-apis:C1:run015,2026-06-18T00:54:54.215227Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,15,2,200,1,454.321,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run016:GraphQL,public-apis/public-apis:C1:run016,2026-06-18T00:54:54.623206Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,16,1,200,1,407.048,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run016:REST,public-apis/public-apis:C1:run016,2026-06-18T00:54:55.034135Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,16,2,200,1,410.282,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run017:GraphQL,public-apis/public-apis:C1:run017,2026-06-18T00:54:55.442519Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,17,1,200,1,407.397,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run017:REST,public-apis/public-apis:C1:run017,2026-06-18T00:54:55.853365Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,17,2,200,1,409.865,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run018:GraphQL,public-apis/public-apis:C1:run018,2026-06-18T00:54:56.264171Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,18,1,200,1,409.833,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run018:REST,public-apis/public-apis:C1:run018,2026-06-18T00:54:56.777201Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,18,2,200,1,512.079,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run019:GraphQL,public-apis/public-apis:C1:run019,2026-06-18T00:54:57.183866Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,19,1,200,1,405.693,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run019:REST,public-apis/public-apis:C1:run019,2026-06-18T00:54:57.594618Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,19,2,200,1,409.904,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run020:REST,public-apis/public-apis:C1:run020,2026-06-18T00:54:58.209744Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,20,1,200,1,614.460,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run020:GraphQL,public-apis/public-apis:C1:run020,2026-06-18T00:54:58.620003Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,20,2,200,1,409.186,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run021:GraphQL,public-apis/public-apis:C1:run021,2026-06-18T00:54:59.029945Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,21,1,200,1,408.962,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run021:REST,public-apis/public-apis:C1:run021,2026-06-18T00:54:59.749044Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,21,2,200,1,718.191,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run022:GraphQL,public-apis/public-apis:C1:run022,2026-06-18T00:55:00.259952Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,22,1,200,1,509.956,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run022:REST,public-apis/public-apis:C1:run022,2026-06-18T00:55:00.666966Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,22,2,200,1,406.196,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run023:REST,public-apis/public-apis:C1:run023,2026-06-18T00:55:01.075871Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,23,1,200,1,408.345,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run023:GraphQL,public-apis/public-apis:C1:run023,2026-06-18T00:55:01.586627Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,23,2,200,1,509.817,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run024:GraphQL,public-apis/public-apis:C1:run024,2026-06-18T00:55:02.098060Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,24,1,200,1,510.358,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run024:REST,public-apis/public-apis:C1:run024,2026-06-18T00:55:02.509305Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,24,2,200,1,410.209,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run025:GraphQL,public-apis/public-apis:C1:run025,2026-06-18T00:55:02.925358Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,25,1,200,1,415.087,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run025:REST,public-apis/public-apis:C1:run025,2026-06-18T00:55:03.327622Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,25,2,200,1,401.314,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run026:REST,public-apis/public-apis:C1:run026,2026-06-18T00:55:03.839960Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,26,1,200,1,511.278,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run026:GraphQL,public-apis/public-apis:C1:run026,2026-06-18T00:55:04.248684Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,26,2,200,1,407.671,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run027:REST,public-apis/public-apis:C1:run027,2026-06-18T00:55:04.761543Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,27,1,200,1,511.632,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run027:GraphQL,public-apis/public-apis:C1:run027,2026-06-18T00:55:05.150503Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,27,2,200,1,388.095,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run028:REST,public-apis/public-apis:C1:run028,2026-06-18T00:55:05.584622Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,28,1,200,1,432.891,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run028:GraphQL,public-apis/public-apis:C1:run028,2026-06-18T00:55:05.943853Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,28,2,200,1,358.288,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run029:REST,public-apis/public-apis:C1:run029,2026-06-18T00:55:06.402785Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,29,1,200,1,457.823,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C1:run029:GraphQL,public-apis/public-apis:C1:run029,2026-06-18T00:55:06.809680Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,29,2,200,1,405.939,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run030:GraphQL,public-apis/public-apis:C1:run030,2026-06-18T00:55:07.320346Z,GraphQL,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,30,1,200,1,509.525,447,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C1:run030:REST,public-apis/public-apis:C1:run030,2026-06-18T00:55:07.835997Z,REST,C1,repository_metadata,public-apis/public-apis,public-apis,public-apis,30,2,200,1,514.476,6825,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run002:REST,public-apis/public-apis:C2:run002,2026-06-18T00:55:08.591453Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,2,1,200,1,751.002,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run002:GraphQL,public-apis/public-apis:C2:run002,2026-06-18T00:55:09.472512Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,2,2,200,1,879.990,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run003:REST,public-apis/public-apis:C2:run003,2026-06-18T00:55:10.316386Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,3,1,200,1,840.069,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run003:GraphQL,public-apis/public-apis:C2:run003,2026-06-18T00:55:11.109634Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,3,2,200,1,792.164,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run004:REST,public-apis/public-apis:C2:run004,2026-06-18T00:55:11.883542Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,4,1,200,1,770.292,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run004:GraphQL,public-apis/public-apis:C2:run004,2026-06-18T00:55:12.748075Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,4,2,200,1,863.393,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run005:GraphQL,public-apis/public-apis:C2:run005,2026-06-18T00:55:13.362209Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,5,1,200,1,613.067,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run005:REST,public-apis/public-apis:C2:run005,2026-06-18T00:55:14.163198Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,5,2,200,1,797.414,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run006:REST,public-apis/public-apis:C2:run006,2026-06-18T00:55:14.939258Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,6,1,200,1,772.332,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run006:GraphQL,public-apis/public-apis:C2:run006,2026-06-18T00:55:15.513483Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,6,2,200,1,573.070,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run007:REST,public-apis/public-apis:C2:run007,2026-06-18T00:55:16.639520Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,7,1,200,1,1123.876,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run007:GraphQL,public-apis/public-apis:C2:run007,2026-06-18T00:55:18.379746Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,7,2,200,1,1739.599,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run008:GraphQL,public-apis/public-apis:C2:run008,2026-06-18T00:55:19.232027Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,8,1,200,1,851.686,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run008:REST,public-apis/public-apis:C2:run008,2026-06-18T00:55:19.878510Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,8,2,200,1,644.886,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run009:GraphQL,public-apis/public-apis:C2:run009,2026-06-18T00:55:20.632265Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,9,1,200,1,753.165,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run009:REST,public-apis/public-apis:C2:run009,2026-06-18T00:55:21.306410Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,9,2,200,1,672.041,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run010:REST,public-apis/public-apis:C2:run010,2026-06-18T00:55:22.185377Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,10,1,200,1,875.390,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run010:GraphQL,public-apis/public-apis:C2:run010,2026-06-18T00:55:22.832472Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,10,2,200,1,646.106,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run011:GraphQL,public-apis/public-apis:C2:run011,2026-06-18T00:55:23.412594Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,11,1,200,1,579.557,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run011:REST,public-apis/public-apis:C2:run011,2026-06-18T00:55:24.116762Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,11,2,200,1,700.315,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run012:REST,public-apis/public-apis:C2:run012,2026-06-18T00:55:24.833045Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,12,1,200,1,712.577,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run012:GraphQL,public-apis/public-apis:C2:run012,2026-06-18T00:55:25.426939Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,12,2,200,1,592.744,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run013:GraphQL,public-apis/public-apis:C2:run013,2026-06-18T00:55:26.001389Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,13,1,200,1,573.440,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run013:REST,public-apis/public-apis:C2:run013,2026-06-18T00:55:26.718175Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,13,2,200,1,713.196,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run014:GraphQL,public-apis/public-apis:C2:run014,2026-06-18T00:55:27.289091Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,14,1,200,1,569.682,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run014:REST,public-apis/public-apis:C2:run014,2026-06-18T00:55:28.416433Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,14,2,200,1,1124.935,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run015:REST,public-apis/public-apis:C2:run015,2026-06-18T00:55:29.233720Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,15,1,200,1,813.999,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run015:GraphQL,public-apis/public-apis:C2:run015,2026-06-18T00:55:29.755871Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,15,2,200,1,521.149,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run016:REST,public-apis/public-apis:C2:run016,2026-06-18T00:55:30.599321Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,16,1,200,1,840.089,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run016:GraphQL,public-apis/public-apis:C2:run016,2026-06-18T00:55:31.179451Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,16,2,200,1,579.122,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run017:REST,public-apis/public-apis:C2:run017,2026-06-18T00:55:31.869534Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,17,1,200,1,686.843,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run017:GraphQL,public-apis/public-apis:C2:run017,2026-06-18T00:55:32.511815Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,17,2,200,1,641.249,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run018:GraphQL,public-apis/public-apis:C2:run018,2026-06-18T00:55:33.126962Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,18,1,200,1,614.123,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run018:REST,public-apis/public-apis:C2:run018,2026-06-18T00:55:34.005449Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,18,2,200,1,874.975,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run019:REST,public-apis/public-apis:C2:run019,2026-06-18T00:55:34.702365Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,19,1,200,1,693.367,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run019:GraphQL,public-apis/public-apis:C2:run019,2026-06-18T00:55:35.480849Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,19,2,200,1,777.236,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run020:GraphQL,public-apis/public-apis:C2:run020,2026-06-18T00:55:36.039431Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,20,1,200,1,557.463,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run020:REST,public-apis/public-apis:C2:run020,2026-06-18T00:55:37.018037Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,20,2,200,1,975.021,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run021:GraphQL,public-apis/public-apis:C2:run021,2026-06-18T00:55:37.548806Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,21,1,200,1,529.492,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run021:REST,public-apis/public-apis:C2:run021,2026-06-18T00:55:38.556278Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,21,2,200,1,1003.717,166728,1,1,GITHUB_REST_TOKEN,
public-apis/public-apis:C2:run022:GraphQL,public-apis/public-apis:C2:run022,2026-06-18T00:55:39.372260Z,GraphQL,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,22,1,200,1,814.758,2504,1,1,GITHUB_GRAPHQL_TOKEN,
public-apis/public-apis:C2:run022:REST,public-apis/public-apis:C2:run022,2026-06-18T00:55:40.242071Z,REST,C2,recent_pull_requests,public-apis/public-apis,public-apis,public-apis,22,2,200,1,866.403,166728,1,1,GITHUB_REST_TOKEN,
